date,price
1999-07-07,662.5
1999-07-14,700.0
1999-07-21,752.22
1999-07-28,754.5
1999-08-04,766.11
1999-08-11,715.0
1999-08-18,722.78
1999-08-25,736.25
1999-09-01,716.25
1999-09-08,722.5
1999-09-15,863.75
1999-09-22,931.25
1999-09-29,890.62
1999-10-06,900.62
1999-10-13,886.25
1999-10-20,880.0
1999-10-27,973.75
1999-11-03,850.0
1999-11-10,850.0
1999-11-17,863.89
1999-11-24,861.88
1999-12-01,830.5
1999-12-08,788.89
1999-12-15,669.38
1999-12-22,596.25
1999-12-29,595.83
2000-01-05,552.78
2000-01-12,571.88
2000-01-19,567.5
2000-01-26,528.33
2000-02-02,460.0
2000-02-09,443.75
2000-02-16,408.12
2000-02-23,402.5
2000-03-01,408.12
2000-03-08,402.5
2000-03-15,424.38
2000-03-22,413.75
2000-03-29,398.12
2000-04-05,393.12
2000-04-12,436.25
2000-04-19,441.11
2000-04-26,437.5
2000-05-03,426.88
2000-05-10,398.75
2000-05-17,385.0
2000-05-24,405.0
2000-05-31,403.75
2000-06-07,408.12
2000-06-14,410.0
2000-06-21,408.75
2000-06-28,426.88
2000-07-05,428.75
2000-07-12,437.5
2000-07-19,392.5
2000-07-26,443.75
2000-08-02,450.0
2000-08-09,459.17
2000-08-16,448.75
2000-08-23,445.0
2000-08-30,456.25
2000-09-06,458.75
2000-09-13,508.75
2000-09-20,521.25
2000-09-27,521.25
2000-10-04,533.75
2000-10-11,549.38
2000-10-18,587.5
2000-10-25,582.5
2000-11-01,660.0
2000-11-08,752.62
2000-11-15,745.0
2000-11-22,726.67
2000-11-29,743.33
2000-12-06,737.14
2000-12-13,718.33
2000-12-20,685.62
2000-12-27,721.88
2001-01-03,741.88
2001-01-10,794.38
2001-01-17,822.5
2001-01-24,797.5
2001-01-31,781.88
2001-02-07,773.75
2001-02-14,738.33
2001-02-21,742.75
2001-02-28,660.25
2001-03-07,670.38
2001-03-14,654.88
2001-03-21,643.88
2001-03-28,625.0
2001-04-04,568.12
2001-04-11,569.12
2001-04-18,586.33
2001-04-25,532.88
2001-05-02,509.38
2001-05-09,487.86
2001-05-16,460.83
2001-05-23,444.62
2001-05-30,460.62
2001-06-06,431.25
2001-06-13,443.75
2001-06-20,454.38
2001-06-27,441.88
2001-07-04,454.38
2001-07-11,445.0
2001-07-18,445.62
2001-07-25,498.38
2001-08-01,492.12
2001-08-08,532.75
2001-08-15,782.5
2001-08-22,839.25
2001-08-29,865.5
2001-09-05,839.0
2001-09-12,806.88
2001-09-19,755.75
2001-09-26,800.12
2001-10-03,789.38
2001-10-10,764.38
2001-10-17,767.12
2001-10-24,785.5
2001-10-31,787.5
2001-11-07,785.88
2001-11-14,809.62
2001-11-21,884.38
2001-11-28,890.5
2001-12-05,828.12
2001-12-12,703.12
2001-12-19,680.0
2001-12-26,695.62
2002-01-02,557.38
2002-01-09,549.38
2002-01-16,549.38
2002-01-23,547.0
2002-01-30,535.38
2002-02-06,509.5
2002-02-13,508.38
2002-02-20,500.88
2002-02-27,522.14
2002-03-06,485.0
2002-03-13,449.67
2002-03-20,488.0
2002-03-27,450.62
2002-04-03,448.75
2002-04-10,443.0
2002-04-17,430.0
2002-04-24,439.0
2002-05-01,448.38
2002-05-08,414.75
2002-05-15,423.0
2002-05-22,410.38
2002-05-29,419.5
2002-06-05,404.62
2002-06-12,412.5
2002-06-19,492.86
2002-06-26,511.25
2002-07-03,525.0
2002-07-10,562.5
2002-07-17,585.12
2002-07-24,592.88
2002-07-31,589.38
2002-08-07,599.38
2002-08-14,641.75
2002-08-21,703.57
2002-08-28,671.5
2002-09-04,745.0
2002-09-11,748.75
2002-09-18,758.75
2002-09-25,756.25
2002-10-02,746.88
2002-10-09,787.5
2002-10-16,804.38
2002-10-23,843.12
2002-10-30,870.0
2002-11-06,847.5
2002-11-13,814.5
2002-11-20,801.88
2002-11-27,607.75
2002-12-04,561.88
2002-12-11,520.0
2002-12-18,458.12
2002-12-25,454.12
2003-01-01,410.38
2003-01-08,413.38
2003-01-15,373.12
2003-01-22,347.5
2003-01-29,385.0
2003-02-05,406.75
2003-02-12,386.25
2003-02-19,392.62
2003-02-26,389.38
2003-03-05,378.75
2003-03-12,403.0
2003-03-19,421.0
2003-03-26,439.2
2003-04-02,479.3
2003-04-09,465.0
2003-04-16,501.5
2003-04-23,557.5
2003-04-30,546.0
2003-05-07,566.0
2003-05-14,551.0
2003-05-21,532.5
2003-05-28,502.5
2003-06-04,487.5
