date,price
1999-07-07,558.75
1999-07-14,531.25
1999-07-21,547.5
1999-07-28,560.0
1999-08-04,522.5
1999-08-11,528.75
1999-08-18,522.5
1999-08-25,458.33
1999-09-01,509.0
1999-09-08,580.0
1999-09-15,611.88
1999-09-22,624.12
1999-09-29,596.25
1999-10-06,591.67
1999-10-13,648.12
1999-10-20,762.5
1999-10-27,850.62
1999-11-03,622.5
1999-11-10,568.75
1999-11-17,533.75
1999-11-24,536.88
1999-12-01,489.38
1999-12-08,506.5
1999-12-15,476.25
1999-12-22,428.75
1999-12-29,428.88
2000-01-05,402.5
2000-01-12,427.62
2000-01-19,381.25
2000-01-26,368.75
2000-02-02,372.5
2000-02-09,334.38
2000-02-16,410.5
2000-02-23,393.0
2000-03-01,410.62
2000-03-08,368.57
2000-03-15,462.5
2000-03-22,451.25
2000-03-29,440.0
2000-04-05,460.25
2000-04-12,497.5
2000-04-19,494.38
2000-04-26,532.62
2000-05-03,552.88
2000-05-10,621.88
2000-05-17,683.5
2000-05-24,559.12
2000-05-31,628.12
2000-06-07,513.0
2000-06-14,610.38
2000-06-21,617.12
2000-06-28,560.88
2000-07-05,350.12
2000-07-12,397.62
2000-07-19,390.0
2000-07-26,392.5
2000-08-02,373.75
2000-08-09,405.0
2000-08-16,385.75
2000-08-23,355.62
2000-08-30,405.5
2000-09-06,406.62
2000-09-13,358.33
2000-09-20,416.5
2000-09-27,414.12
2000-10-04,427.88
2000-10-11,358.33
2000-10-18,524.25
2000-10-25,461.43
2000-11-01,647.5
2000-11-08,591.25
2000-11-15,678.75
2000-11-22,647.38
2000-11-29,658.25
2000-12-06,766.25
2000-12-13,741.0
2000-12-20,708.25
2000-12-27,702.5
2001-01-03,746.0
2001-01-10,717.38
2001-01-17,690.0
2001-01-24,660.0
2001-01-31,621.62
2001-02-07,593.0
2001-02-14,576.5
2001-02-21,564.12
2001-02-28,487.62
2001-03-07,516.5
2001-03-14,510.62
2001-03-21,507.75
2001-03-28,498.88
2001-04-04,448.88
2001-04-11,455.75
2001-04-18,431.88
2001-04-25,411.25
2001-05-02,393.75
2001-05-09,393.75
2001-05-16,391.25
2001-05-23,389.88
2001-05-30,385.0
2001-06-06,414.5
2001-06-13,411.38
2001-06-20,435.12
2001-06-27,437.62
2001-07-04,501.5
2001-07-11,485.38
2001-07-18,499.0
2001-07-25,512.75
2001-08-01,515.38
2001-08-08,575.62
2001-08-15,668.12
2001-08-22,727.5
2001-08-29,648.75
2001-09-05,666.25
2001-09-12,649.38
2001-09-19,634.38
2001-09-26,637.5
2001-10-03,648.12
2001-10-10,669.38
2001-10-17,688.12
2001-10-24,765.0
2001-10-31,800.0
2001-11-07,801.25
2001-11-14,923.75
2001-11-21,1167.5
2001-11-28,980.0
2001-12-05,942.5
2001-12-12,777.5
2001-12-19,715.0
2001-12-26,613.75
2002-01-02,597.5
2002-01-09,578.75
2002-01-16,512.5
2002-01-23,508.75
2002-01-30,460.62
2002-02-06,432.5
2002-02-13,403.33
2002-02-20,411.67
2002-02-27,388.33
2002-03-06,376.67
2002-03-13,376.67
2002-03-20,374.38
2002-03-27,346.25
2002-04-03,301.67
2002-04-10,346.25
2002-04-17,341.25
2002-04-24,337.5
2002-05-01,332.5
2002-05-08,366.25
2002-05-15,366.25
2002-05-22,358.75
2002-05-29,357.5
2002-06-05,362.5
2002-06-12,388.75
2002-06-19,455.0
2002-06-26,474.38
2002-07-03,468.12
2002-07-10,510.0
2002-07-17,491.25
2002-07-24,521.88
2002-07-31,523.12
2002-08-07,530.62
2002-08-14,555.62
2002-08-21,600.62
2002-08-28,600.62
2002-09-04,635.0
2002-09-11,646.25
2002-09-18,616.88
2002-09-25,618.12
2002-10-02,620.0
2002-10-09,621.88
2002-10-16,643.12
2002-10-23,780.0
2002-10-30,830.0
2002-11-06,780.0
2002-11-13,700.62
2002-11-20,710.62
2002-11-27,716.88
2002-12-04,704.38
2002-12-11,679.38
2002-12-18,648.12
2002-12-25,551.25
2003-01-01,551.25
2003-01-08,541.25
2003-01-15,446.25
2003-01-22,435.0
2003-01-29,417.5
2003-02-05,414.38
2003-02-12,396.25
2003-02-19,391.25
2003-02-26,370.0
2003-03-05,368.12
2003-03-12,373.75
2003-03-19,382.5
2003-03-26,387.5
2003-04-02,387.5
2003-04-09,405.62
2003-04-16,532.5
2003-04-23,556.88
2003-04-30,621.88
2003-05-07,579.38
2003-05-14,566.88
2003-05-21,508.75
2003-05-28,496.25
2003-06-04,538.75
2003-06-11,588.75
2003-06-18,621.25
2003-06-25,645.0
2003-07-02,656.88
2003-07-09,669.38
2003-07-16,666.88
2003-07-23,656.88
2003-07-30,684.38
2003-08-06,678.75
2003-08-13,668.12
2003-08-20,741.25
2003-08-27,706.25
2003-09-03,700.0
2003-09-10,691.88
2003-09-17,695.0
2003-09-24,706.25
2003-10-01,767.5
2003-10-08,898.75
2003-10-15,880.0
2003-10-22,950.0
2003-10-29,937.5
2003-11-05,968.75
2003-11-12,988.12
2003-11-19,1008.12
2003-11-26,937.5
2003-12-03,941.25
2003-12-10,886.25
2003-12-17,856.25
2003-12-24,887.5
2003-12-31,1001.25
2004-01-07,1013.75
2004-01-14,1003.12
2004-01-21,1105.62
2004-01-28,1023.75
2004-02-04,986.25
2004-02-11,986.25
2004-02-18,948.75
2004-02-25,948.75
2004-03-03,828.12
2004-03-10,655.62
2004-03-17,649.38
2004-03-24,621.88
2004-03-31,541.88
2004-04-07,534.38
2004-04-14,534.38
2004-04-21,518.12
2004-04-28,536.88
2004-05-05,516.88
2004-05-12,518.12
2004-05-19,498.75
2004-05-26,517.5
2004-06-02,511.25
2004-06-09,549.25
2004-06-16,590.5
2004-06-23,594.25
2004-06-30,599.38
2004-07-07,588.0
2004-07-14,606.75
2004-07-21,594.25
2004-07-28,583.12
2004-08-04,580.62
2004-08-11,586.88
2004-08-18,584.38
2004-08-25,688.75
2004-09-01,686.25
2004-09-08,686.25
2004-09-15,670.62
2004-09-22,630.62
2004-09-29,561.88
2004-10-06,578.12
2004-10-13,574.38
2004-10-20,558.75
2004-10-27,577.5
2004-11-03,587.5
2004-11-10,578.12
2004-11-17,578.12
2004-11-24,593.12
2004-12-01,569.38
2004-12-08,585.0
2004-12-15,587.86
2004-12-22,568.12
2004-12-29,568.75
2005-01-05,592.5
2005-01-12,592.5
2005-01-19,604.38
2005-01-26,574.38
2005-02-02,574.38
2005-02-09,526.88
2005-02-16,526.88
2005-02-23,506.88
2005-03-02,505.62
2005-03-09,493.12
2005-03-16,489.38
2005-03-23,488.12
2005-03-30,488.12
2005-04-06,500.62
2005-04-13,510.62
2005-04-20,498.12
2005-04-27,489.62
2005-05-04,483.12
2005-05-11,481.88
2005-05-18,481.88
2005-05-25,480.62
2005-06-01,490.62
2005-06-08,488.75
2005-06-15,504.88
2005-06-22,520.0
2005-06-29,520.0
2005-07-06,526.88
2005-07-09,1095.83
2005-07-13,587.5
2005-07-20,605.0
2005-07-27,607.5
2005-08-03,623.75
2005-08-10,643.12
2005-08-17,701.88
2005-08-24,739.38
2005-08-31,753.12
2005-09-07,984.38
2005-09-14,1020.0
2005-09-21,1002.5
2005-09-28,1028.75
2005-10-05,1047.5
2005-10-12,1060.0
2005-10-19,1185.0
2005-10-26,1185.0
2005-11-02,1185.0
2005-11-09,1250.0
2005-11-16,1300.0
2005-11-23,1300.0
2005-11-30,1228.12
2005-12-07,1065.71
2005-12-14,1012.14
2005-12-21,764.38
2005-12-28,734.38
2006-01-04,708.12
2006-01-11,686.88
2006-01-18,620.0
2006-01-25,540.62
2006-02-01,534.38
2006-02-08,544.38
2006-02-15,493.33
2006-02-22,520.0
2006-03-01,500.0
2006-03-08,483.33
2006-03-15,418.33
2006-03-22,381.25
2006-03-29,368.75
2006-04-05,396.25
2006-04-12,410.0
2006-04-19,410.0
2006-04-26,410.0
2006-05-03,411.25
2006-05-10,385.0
2006-05-17,397.5
2006-05-24,416.25
2006-05-31,420.0
2006-06-07,440.25
2006-06-14,445.0
2006-06-21,488.75
2006-06-28,553.12
2006-07-05,515.62
2006-07-12,510.38
2006-07-19,510.38
2006-07-26,507.5
2006-08-02,503.12
2006-08-09,504.38
2006-08-16,581.88
2006-08-23,592.5
2006-08-30,579.38
2006-09-06,541.88
2006-09-13,541.88
2006-09-20,541.88
2006-09-27,560.62
2006-10-04,583.12
2006-10-11,583.12
2006-10-18,585.62
2006-10-25,626.88
2006-11-01,638.75
2006-11-08,563.75
2006-11-15,591.25
2006-11-22,606.25
2006-11-29,643.75
2006-12-06,643.75
2006-12-13,661.25
2006-12-20,661.25
2006-12-27,868.75
2007-01-03,952.5
2007-01-10,993.75
2007-01-17,1112.5
2007-01-24,1150.0
2007-01-31,1122.5
2007-02-07,1111.25
2007-02-14,1112.5
2007-02-21,1062.5
2007-02-28,1050.0
2007-03-07,968.75
2007-03-14,981.25
2007-03-21,931.25
2007-03-28,787.5
2007-04-04,787.5
2007-04-11,718.75
2007-04-18,725.0
2007-04-25,722.5
2007-05-02,666.25
2007-05-09,683.75
2007-05-16,678.12
2007-05-23,648.12
2007-05-30,694.38
2007-06-06,716.88
2007-06-13,760.62
2007-06-20,819.38
2007-06-27,999.38
2007-07-04,1118.12
2007-07-11,1105.62
2007-07-18,1105.62
2007-07-25,1061.88
2007-08-01,1070.62
2007-08-08,1095.62
2007-08-15,1083.12
2007-08-22,1180.0
2007-08-29,1164.38
2007-09-05,1164.38
2007-09-12,1297.12
2007-09-19,1304.0
2007-09-26,1447.12
2007-10-03,1422.75
2007-10-10,1447.75
2007-10-17,1435.25
2007-10-24,1416.5
2007-10-31,1472.75
2007-11-07,1315.88
2007-11-14,1234.62
2007-11-21,1045.0
2007-11-28,1007.5
2007-12-05,899.38
2007-12-12,893.12
2007-12-19,930.62
