date,price
1993-01-06,621.2
1993-01-13,636.83
1993-01-20,637.67
1993-01-27,631.83
1993-02-03,618.2
1993-02-10,636.0
1993-02-17,596.5
1993-02-24,591.2
1993-03-03,585.2
1993-03-10,495.8
1993-03-17,541.2
1993-03-24,539.83
1993-03-31,546.2
1993-04-07,542.75
1993-04-14,538.2
1993-04-21,586.83
1993-04-28,596.2
1993-05-05,578.33
1993-05-12,543.33
1993-05-19,566.0
1993-05-26,580.0
1993-06-02,572.0
1993-06-09,565.0
1993-06-16,572.0
1993-06-23,562.0
1993-06-30,528.33
1993-07-07,534.17
1993-07-14,545.83
1993-07-21,557.67
1993-07-28,563.33
1993-08-04,563.33
1993-08-11,579.0
1993-08-18,583.5
1993-08-25,575.25
1993-09-01,586.2
1993-09-08,576.5
1993-09-15,590.2
1993-09-22,573.67
1993-09-29,588.5
1993-10-06,590.2
1993-10-13,594.0
1993-10-20,650.0
1993-10-27,610.33
1993-11-03,602.0
1993-11-10,598.0
1993-11-17,606.4
1993-11-24,610.33
1993-12-01,633.4
1993-12-08,648.4
1993-12-15,660.67
1993-12-22,688.2
1993-12-29,675.33
1994-01-05,678.4
1994-01-12,678.4
1994-01-19,670.4
1994-01-26,690.4
1994-02-02,707.5
1994-02-09,706.75
1994-02-16,704.4
1994-02-23,708.67
1994-03-02,702.4
1994-03-09,708.67
1994-03-16,692.4
1994-03-23,700.2
1994-03-30,682.2
1994-04-06,702.4
1994-04-13,698.67
1994-04-20,681.17
1994-04-27,681.17
1994-05-04,672.4
1994-05-11,662.4
1994-05-18,690.2
1994-05-25,688.67
1994-06-01,678.67
1994-06-08,668.5
1994-06-15,677.0
1994-06-22,672.0
1994-06-29,675.25
1994-07-06,675.17
1994-07-13,678.5
1994-07-20,676.83
1994-07-27,682.0
1994-08-03,671.0
1994-08-10,681.2
1994-08-17,671.0
1994-08-24,671.0
1994-08-31,659.33
1994-09-07,656.2
1994-09-14,675.33
1994-09-21,668.5
1994-09-28,684.33
1994-10-05,688.5
1994-10-12,690.17
1994-10-19,685.33
1994-10-26,678.0
1994-11-02,675.17
1994-11-09,678.2
1994-11-16,683.67
1994-11-23,708.67
1994-11-30,700.67
1994-12-07,678.4
1994-12-14,660.33
1994-12-21,690.4
1994-12-28,705.33
1995-01-04,702.0
1995-01-11,728.67
1995-01-18,727.0
1995-01-25,730.33
1995-02-01,742.0
1995-02-08,734.4
1995-02-15,708.4
1995-02-22,728.83
1995-03-01,746.2
1995-03-08,708.0
1995-03-15,703.17
1995-03-22,703.8
1995-03-29,681.8
1995-04-05,681.8
1995-04-12,
1995-04-19,680.0
1995-04-26,681.67
1995-05-03,693.17
1995-05-10,702.5
1995-05-17,695.33
1995-05-24,675.4
1995-05-31,672.5
1995-06-07,652.67
1995-06-14,659.5
1995-06-21,699.67
1995-06-28,674.5
1995-07-05,656.0
1995-07-12,660.0
1995-07-19,659.75
1995-07-26,673.8
1995-08-02,675.6
1995-08-09,690.0
1995-08-16,677.8
1995-08-23,687.8
1995-08-30,677.8
1995-09-06,683.0
1995-09-13,668.0
1995-09-20,671.6
1995-09-27,679.6
1995-10-04,684.5
1995-10-11,684.5
1995-10-18,669.83
1995-10-25,693.17
1995-11-01,693.17
1995-11-08,709.8
1995-11-15,720.0
1995-11-22,722.5
1995-11-29,717.5
1995-12-06,728.8
1995-12-13,725.67
1995-12-20,729.0
1995-12-27,725.0
1996-01-03,739.17
1996-01-10,739.17
1996-01-17,736.83
1996-01-24,745.2
1996-01-31,745.2
1996-02-07,775.25
1996-02-14,743.5
1996-02-21,770.25
1996-02-28,770.25
1996-03-06,745.5
1996-03-13,740.17
1996-03-20,710.0
1996-03-27,727.5
1996-04-03,750.17
1996-04-10,777.75
1996-04-17,713.33
1996-04-24,745.17
1996-05-01,745.17
1996-05-08,745.17
1996-05-15,745.17
1996-05-22,745.17
1996-05-29,745.17
1996-06-05,745.17
1996-06-12,745.17
1996-06-19,690.0
1996-06-26,760.0
1996-07-03,690.0
1996-07-10,809.4
1996-07-17,809.4
1996-07-24,826.17
1996-07-31,811.17
1996-08-07,808.67
1996-08-14,817.0
1996-08-21,807.0
1996-08-28,841.33
1996-09-04,841.33
1996-09-11,843.0
1996-09-18,858.17
1996-09-25,858.17
1996-10-02,858.17
1996-10-03,858.17
1996-10-09,975.0
1996-10-16,886.5
1996-10-23,963.0
1996-10-30,912.0
1996-11-06,948.0
1996-11-13,891.25
1996-11-20,876.25
1996-11-27,938.75
1996-12-04,943.33
1996-12-11,978.2
1996-12-18,906.67
1996-12-25,958.17
1997-01-01,992.0
1997-01-08,986.5
1997-01-15,955.0
1997-01-22,1012.5
1997-01-29,1150.67
1997-02-05,1105.0
1997-02-07,1018.25
1997-02-12,1090.0
1997-02-19,1179.5
1997-02-26,1122.0
1997-03-05,1017.5
1997-03-12,1097.5
1997-03-19,1021.75
1997-03-26,953.75
1997-04-02,923.75
1997-04-09,1029.17
1997-04-16,1015.71
1997-04-23,1015.71
1997-04-30,988.57
1997-05-07,991.57
1997-05-14,940.17
1997-05-21,920.12
1997-05-28,990.75
1997-06-04,990.75
1997-06-11,1008.88
1997-06-18,910.14
1997-06-25,1015.12
1997-07-02,1018.25
1997-07-09,942.14
1997-07-16,971.88
1997-07-23,931.12
1997-07-30,898.0
1997-08-06,873.0
1997-08-13,859.12
1997-08-20,926.62
1997-08-27,859.25
1997-09-03,841.75
1997-09-10,839.25
1997-09-17,845.5
1997-09-24,816.12
1997-10-01,816.12
1997-10-08,813.0
1997-10-15,814.25
1997-10-22,820.5
1997-10-29,810.5
1997-11-05,811.75
1997-11-12,846.75
1997-11-19,853.0
1997-11-26,865.5
1997-12-03,868.0
1997-12-10,879.25
1997-12-17,894.25
1997-12-24,894.25
1997-12-31,923.12
1998-01-07,941.88
1998-01-14,882.5
1998-01-21,838.88
1998-01-28,837.62
1998-02-04,868.71
1998-02-11,875.86
1998-02-18,963.88
1998-02-25,961.88
1998-03-04,955.62
1998-03-11,901.25
1998-03-18,895.62
1998-03-25,888.12
1998-04-01,900.62
1998-04-08,900.62
1998-04-15,934.38
1998-04-22,890.62
1998-04-29,879.38
1998-05-06,879.38
1998-05-13,880.62
1998-05-20,878.12
1998-05-27,867.5
1998-06-03,866.25
1998-06-10,866.25
1998-06-17,866.25
1998-06-24,899.38
1998-07-01,878.75
1998-07-08,898.12
1998-07-15,877.5
1998-07-22,892.5
1998-07-29,887.38
1998-08-05,888.62
1998-08-12,884.88
1998-08-19,876.12
1998-08-26,885.5
1998-09-02,886.12
1998-09-09,874.86
1998-09-16,889.25
1998-09-23,890.5
1998-09-30,891.88
1998-10-07,891.88
1998-10-14,893.12
1998-10-21,894.38
1998-10-28,903.12
1998-11-04,909.38
1998-11-11,908.12
1998-11-18,898.75
1998-11-25,907.5
1998-12-02,903.33
1998-12-09,910.62
1998-12-16,923.12
1998-12-23,926.43
1998-12-30,923.75
1999-01-06,884.29
1999-01-13,879.29
1999-01-20,898.57
1999-01-27,898.57
1999-02-03,884.29
1999-02-10,963.57
1999-02-17,949.29
1999-02-24,948.57
1999-03-03,948.57
1999-03-10,948.57
1999-03-17,941.43
1999-03-24,924.29
1999-03-31,912.86
1999-04-07,913.57
1999-04-14,913.57
1999-04-21,901.43
1999-04-28,885.0
1999-05-05,900.0
1999-05-12,906.67
1999-05-19,917.5
1999-05-26,910.0
1999-06-02,899.17
1999-06-09,899.17
1999-06-16,899.17
1999-06-23,898.33
1999-06-30,898.33
1999-07-07,898.33
1999-07-14,905.0
1999-07-21,913.33
1999-07-28,912.5
1999-08-04,909.17
1999-08-11,909.17
1999-08-18,907.5
1999-08-25,890.83
1999-09-01,893.33
1999-09-08,901.67
1999-09-15,917.5
1999-09-22,934.17
1999-09-29,934.17
